"ID";"Bezeichner";"Gehäuse";"Stückzahl";"Bezeichnung";"Anbieter und Referenz";
1;"J13";"PinHeader_1x05_P2.54mm_Vertical";1;"Conn_01x05";;;
2;"J5,J7";"PinHeader_1x03_P2.54mm_Vertical";2;"Conn_01x03";;;
3;"J3";"PinHeader_1x12_P2.54mm_Vertical";1;"Conn_01x12";;;
4;"U2";"DIP-8_W7.62mm_LongPads";1;"MCP4821";;;
5;"TP38,TP37,TP36,TP34,TP33,TP26,TP16,TP5,TP4,TP1,TP35,TP2,TP32,TP31,TP30,TP29,TP28,TP27,TP25,TP24,TP23,TP22,TP21,TP20,TP19,TP18,TP17,TP15,TP14,TP13,TP12,TP11,TP10,TP9,TP8,TP7,TP6,TP3";"TestPoint_THTPad_D2.5mm_Drill1.2mm";38;"1018.68";;;
6;"U4";"DIP-8_W7.62mm_LongPads";1;"MCP3202";;;
7;"U3";"DIP-8_W7.62mm_LongPads";1;"REF02CP";;;
8;"RV1,R13,R4,R3";"Potentiometer_Piher_PT-6-V_Vertical";4;"10k";;;
9;"C10,C8,C7,C6,C5,C2,C1";"C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";7;"100nF";;;
10;"R20";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"4k7";;;
11;"R19,R18,R10,R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";4;"R";;;
12;"R8,R12,R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"10k";;;
13;"D4,D3,D2,D1";"D_A-405_P10.16mm_Horizontal";4;"D_Schottky";;;
14;"A1";"Arduino_Nano";1;"Arduino_Nano_v3.x";;;
15;"J6,J8,J4,J2,J10,J9,J11";"17263862";7;"1-726386-2";;;
16;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"10";;;
17;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"1";;;
18;"C4";"C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"1uF Tantal";;;
19;"C3";"C_Rect_L7.2mm_W3.0mm_P5.00mm_FKS2_FKP2_MKS2_MKP2";1;"10uF Tantal";;;
20;"K4,K3,K1,K2";"36SERIES-MINIATURE-PCB-RELAYS-10A";4;"36.11.9.005.4011";;;
21;"R15,R5";"Potentiometer_Piher_PT-6-V_Vertical";2;"1k";;;
22;"R14";"Potentiometer_Piher_PT-6-V_Vertical";1;"47k";;;
23;"U6";"DIP-16_W7.62mm_LongPads";1;"ULN2003";;;
24;"H4,H3,H2,H1";"638231";4;"63823-1";;;
25;"J12";"09061152911_2";1;"09061152911";;;
26;"IC1";"CDIP774W53P254L2057H445Q16";1;"XTR110AG";;;
27;"R17,R1,R11";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";3;"100k";;;
28;"R16";"R_Axial_DIN0207_L6.3mm_D2.5mm_P10.16mm_Horizontal";1;"82k";;;
29;"C9";"C_Disc_D5.0mm_W2.5mm_P5.00mm";1;"100nF";;;
30;"U5";"DIP-16_W7.62mm_LongPads";1;"PCF8574";;;
31;"U1";"DIP-14_W7.62mm_LongPads";1;"LM324";;;
32;"J1";"PinHeader_2x02_P2.54mm_Vertical";1;"Conn_02x02_Counter_Clockwise";;;
