time,voltage_a,voltage_b
2021-08-09 19:44:02.686931,5.2153,5.1503
2021-08-09 19:44:03.738297,5.2153,5.1491
2021-08-09 19:44:04.789710,5.2159,5.1493
2021-08-09 19:44:05.840950,5.2151,5.1489
2021-08-09 19:44:06.892429,5.213,5.1481
2021-08-09 19:44:07.944663,5.2157,5.1485
2021-08-09 19:44:08.996051,5.2142,5.1487
2021-08-09 19:44:10.047480,5.2144,5.1489
2021-08-09 19:44:11.098875,5.2147,5.1483
2021-08-09 19:44:12.151008,5.2153,5.1481
2021-08-09 19:44:13.202452,5.2153,5.1489
2021-08-09 19:44:14.253629,5.2147,5.1487
2021-08-09 19:44:15.305876,5.2157,5.1481
2021-08-09 19:44:16.357240,5.2146,5.1485
2021-08-09 19:44:17.408811,5.214,5.1483
2021-08-09 19:44:18.460804,5.2149,5.1483
2021-08-09 19:44:19.512178,5.2155,5.1489
2021-08-09 19:44:20.563529,5.2151,5.1483
2021-08-09 19:44:21.615037,5.2159,5.1479
2021-08-09 19:44:22.667254,5.2153,5.1489
2021-08-09 19:44:23.718610,5.2146,5.1485
2021-08-09 19:44:24.747614,5.2157,5.1485
2021-08-09 19:44:25.798987,5.2149,5.1483
2021-08-09 19:44:26.850393,5.2153,5.1479
2021-08-09 19:44:27.902583,5.2144,5.1489
2021-08-09 19:44:28.953960,5.2142,5.1485
2021-08-09 19:44:30.004962,5.2142,5.1485
2021-08-09 19:44:31.057284,5.2147,5.1477
2021-08-09 19:44:32.108686,5.2161,5.1487
2021-08-09 19:44:33.159776,5.2138,5.1487
2021-08-09 19:44:34.212020,5.2157,5.1491
2021-08-09 19:44:35.264007,5.2157,5.1481
2021-08-09 19:44:36.315310,5.2157,5.1485
2021-08-09 19:44:37.366755,5.2157,5.1483
2021-08-09 19:44:38.418454,5.2153,5.1481
2021-08-09 19:44:39.470761,5.2151,5.1487
2021-08-09 19:44:40.522059,5.2147,5.1483
2021-08-09 19:44:41.573353,5.2153,5.1487
2021-08-09 19:44:42.624804,5.2138,5.1489
2021-08-09 19:44:43.676984,5.2163,5.1487
2021-08-09 19:44:44.728353,5.2157,5.1485
2021-08-09 19:44:45.780547,5.2144,5.1487
2021-08-09 19:44:46.831945,5.2142,5.1489
2021-08-09 19:44:47.883411,5.2146,5.1491
2021-08-09 19:44:48.934656,5.2157,5.1487
2021-08-09 19:44:49.986908,5.2151,5.1481
2021-08-09 19:44:51.038373,5.2157,5.1479
2021-08-09 19:44:52.090140,5.2157,5.1481
2021-08-09 19:44:53.141505,5.2157,5.1485
2021-08-09 19:44:54.193683,5.2157,5.1487
2021-08-09 19:44:55.245124,5.2147,5.1485
2021-08-09 19:44:56.296367,5.2138,5.1487
2021-08-09 19:44:57.348502,5.2155,5.1483
2021-08-09 19:44:58.399749,5.2151,5.1487
2021-08-09 19:44:59.451999,5.2149,5.1483
2021-08-09 19:45:00.503453,5.2151,5.1481
2021-08-09 19:45:01.554755,5.2153,5.1485
2021-08-09 19:45:02.606550,5.2151,5.1485
2021-08-09 19:45:03.657812,5.2159,5.1483
2021-08-09 19:45:04.710115,5.2157,5.1481
2021-08-09 19:45:05.761568,5.2151,5.1487
2021-08-09 19:45:06.813845,5.2153,5.1491
2021-08-09 19:45:07.865282,5.2153,5.1479
2021-08-09 19:45:08.916558,5.2159,5.1483
2021-08-09 19:45:09.968792,5.2149,5.1483
2021-08-09 19:45:11.020156,5.2151,5.1485
2021-08-09 19:45:12.071554,5.2159,5.1489
2021-08-09 19:45:13.123692,5.2151,5.1487
2021-08-09 19:45:14.174787,5.2157,5.1485
2021-08-09 19:45:15.226927,5.2157,5.1481
2021-08-09 19:45:16.278202,5.2146,5.1485
2021-08-09 19:45:17.329523,5.2146,5.1487
2021-08-09 19:45:18.382043,5.2144,5.1481
2021-08-09 19:45:19.433497,5.2163,5.1481
2021-08-09 19:45:20.485097,5.2155,5.1491
2021-08-09 19:45:21.537232,5.2159,5.1493
2021-08-09 19:45:22.588468,5.2151,5.1487
2021-08-09 19:45:23.640701,5.214,5.1479
2021-08-09 19:45:24.692111,5.2153,5.1491
2021-08-09 19:45:25.744084,5.2147,5.1487
2021-08-09 19:45:26.795667,5.2157,5.1493
2021-08-09 19:45:27.847308,5.2149,5.1481
2021-08-09 19:45:28.898648,5.2149,5.1493
2021-08-09 19:45:29.949965,5.2149,5.1477
2021-08-09 19:45:31.002244,5.2157,5.1491
2021-08-09 19:45:32.053563,5.2161,5.1485
2021-08-09 19:45:33.105483,5.2151,5.1485
2021-08-09 19:45:34.156873,5.2144,5.1483
2021-08-09 19:45:35.208047,5.2149,5.1479
2021-08-09 19:45:36.260364,5.2151,5.1487
2021-08-09 19:45:37.312165,5.2153,5.1483
2021-08-09 19:45:38.363509,5.2151,5.1473
2021-08-09 19:45:39.415720,5.213,5.1489
2021-08-09 19:45:40.466920,5.2142,5.1495
2021-08-09 19:45:41.519284,5.2157,5.1479
2021-08-09 19:45:42.570885,5.2142,5.1487
2021-08-09 19:45:43.622430,5.2138,5.1483
2021-08-09 19:45:44.673764,5.2153,5.1477
2021-08-09 19:45:45.726107,5.2153,5.1489
2021-08-09 19:45:46.777501,5.2165,5.1491
2021-08-09 19:45:47.829300,5.214,5.1487
2021-08-09 19:45:48.880561,5.2157,5.1473
2021-08-09 19:45:49.932876,5.2153,5.1481
2021-08-09 19:45:50.984346,5.2157,5.1489
2021-08-09 19:45:52.035742,5.2153,5.1491
2021-08-09 19:45:53.087089,5.2153,5.1481
2021-08-09 19:45:54.139484,5.2142,5.1493
2021-08-09 19:45:55.190681,5.2134,5.1479
2021-08-09 19:45:56.242328,5.2144,5.1487
2021-08-09 19:45:57.294451,5.2151,5.1487
2021-08-09 19:45:58.345899,5.2155,5.1491
2021-08-09 19:45:59.397353,5.2159,5.1487
2021-08-09 19:46:00.449271,5.2149,5.1489
2021-08-09 19:46:01.500618,5.2153,5.1483
2021-08-09 19:46:02.551834,5.2149,5.1487
2021-08-09 19:46:03.604236,5.2149,5.1491
2021-08-09 19:46:04.655563,5.2151,5.1487
2021-08-09 19:46:05.707726,5.2138,5.1489
2021-08-09 19:46:06.759057,5.2153,5.1479
2021-08-09 19:46:07.811368,5.2147,5.1487
2021-08-09 19:46:08.862788,5.2138,5.1481
2021-08-09 19:46:09.914079,5.2149,5.1493
2021-08-09 19:46:10.966350,5.2149,5.1485
2021-08-09 19:46:12.017715,5.2151,5.1485
2021-08-09 19:46:13.069065,5.214,5.1473
2021-08-09 19:46:14.120426,5.2161,5.1479
2021-08-09 19:46:15.172754,5.2142,5.1487
2021-08-09 19:46:16.224165,5.2159,5.1489
2021-08-09 19:46:17.253403,5.2142,5.1487
2021-08-09 19:46:18.304657,5.2149,5.1483
2021-08-09 19:46:19.356594,5.2142,5.1485
2021-08-09 19:46:20.407734,5.2157,5.1481
2021-08-09 19:46:21.458997,5.2161,5.1479
2021-08-09 19:46:22.511209,5.2157,5.1485
2021-08-09 19:46:23.562220,5.2147,5.1481
2021-08-09 19:46:24.614325,5.2146,5.1485
2021-08-09 19:46:25.665646,5.2147,5.1485
2021-08-09 19:46:26.717740,5.2159,5.1475
2021-08-09 19:46:27.768952,5.214,5.1481
2021-08-09 19:46:28.820620,5.2136,5.1483
2021-08-09 19:46:29.872032,5.2153,5.1489
2021-08-09 19:46:30.923934,5.2153,5.1483
2021-08-09 19:46:31.975209,5.2153,5.1485
2021-08-09 19:46:33.027378,5.2159,5.1485
2021-08-09 19:46:34.078549,5.2155,5.1481
2021-08-09 19:46:35.130733,5.2157,5.1489
